2025-04-07-20:27:48 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:29:03 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:29:40 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:30:51 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:32:38 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:36:07 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:36:12 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:37:59 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:39:15 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann den angegebenen Pfad nicht finden)
2025-04-07-20:41:47 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:42:37 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:44:18 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:44:47 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:44:49 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:45:49 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:47:08 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:47:23 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:47:36 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:48:18 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:48:45 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:49:43 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:49:59 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:50:18 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:54:13 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:54:39 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:54:54 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:55:03 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:58:37 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-20:59:15 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-21:03:52 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-21:04:58 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
2025-04-07-21:12:16 | ERROR | org.oxt.toolbox.helpers.AppProperties (AppProperties.java:43) | resources\app.config (Das System kann die angegebene Datei nicht finden)
